,genre,danceability,energy,loudness,acousticness,instrumentalness,liveness,speechiness,valence
0,rap,0.878,0.604,-7.411,0.52,0.0,0.286,0.334,0.928
1,rap,0.822,0.653,-6.113,0.079,0.0,0.122,0.172,0.758
2,rap,0.761,0.739,-3.298,0.0971,0.0,0.114,0.206,0.29
3,rap,0.852,0.764,-6.592,0.165,0.0,0.0559,0.157,0.826
4,rap,0.823,0.514,-7.109,0.117,0.0,0.506,0.333,0.521
5,rap,0.644,0.478,-10.407,0.65,0.0,0.127,0.0491,0.606
6,rap,0.696,0.637,-5.739,0.193,0.0,0.124,0.176,0.249
7,rap,0.73,0.64,-6.703,0.0356,0.0,0.32,0.138,0.52
8,rap,0.852,0.812,-5.949,0.0254,0.0,0.0604,0.295,0.504
9,rap,0.767,0.645,-6.91,0.264,9.73e-06,0.105,0.175,0.667
10,rap,0.855,0.792,-7.866,0.222,0.0,0.104,0.266,0.817
11,rap,0.772,0.674,-7.105,0.284,0.00055,0.145,0.305,0.353
12,rap,0.669,0.694,-6.36,0.343,0.0,0.149,0.0634,0.455
13,rap,0.758,0.689,-10.606,0.408,1.39e-06,0.0609,0.236,0.83
14,rap,0.794,0.644,-7.537,0.175,0.0,0.344,0.194,0.586
15,rap,0.65,0.701,-5.292,0.319,0.0,0.14,0.26,0.356
16,rap,0.788,0.718,-7.32,0.329,1.69e-05,0.118,0.234,0.513
17,rap,0.791,0.766,-6.416,0.234,0.0,0.114,0.215,0.778
18,rap,0.815,0.664,-6.462,0.0981,0.0,0.129,0.276,0.364
19,rap,0.801,0.531,-8.023,0.205,3.6e-05,0.0902,0.177,0.376
20,rap,0.821,0.738,-6.087,0.255,0.0,0.103,0.438,0.516
21,rap,0.726,0.822,-5.106,0.00624,1.99e-05,0.139,0.0367,0.768
22,rap,0.801,0.817,-5.45,0.715,0.000434,0.612,0.0493,0.922
23,rap,0.743,0.708,-4.499,0.0859,0.0,0.171,0.3,0.472
24,rap,0.536,0.644,-7.827,0.0809,0.0,0.256,0.349,0.705
25,rap,0.766,0.468,-8.798,0.393,6.27e-05,0.109,0.316,0.537
26,rap,0.551,0.844,-3.939,0.00446,0.0,0.459,0.0505,0.227
27,rap,0.962,0.619,-7.978,0.0962,0.000426,0.0327,0.128,0.558
28,rap,0.928,0.767,-8.108,0.199,0.103,0.0771,0.0685,0.845
29,rap,0.666,0.86,-6.797,0.583,0.0,0.168,0.122,0.378
30,rap,0.806,0.73,-5.937,0.28,0.0,0.125,0.289,0.724
31,rap,0.614,0.431,-9.156,0.556,3.62e-06,0.0936,0.0588,0.519
32,rap,0.77,0.832,-5.567,0.226,0.0,0.746,0.264,0.434
33,rap,0.782,0.657,-7.561,0.26,0.0,0.131,0.164,0.568
34,rap,0.698,0.708,-6.118,0.418,0.0,0.0771,0.24,0.621
35,rap,0.82,0.722,-5.607,0.00857,1.17e-06,0.284,0.0704,0.531
36,rap,0.898,0.726,-5.743,0.00695,0.0,0.156,0.237,0.436
37,rap,0.78,0.675,-7.15,0.301,0.00178,0.113,0.0917,0.761
38,rap,0.79,0.863,-4.787,0.0357,0.0,0.199,0.254,0.563
39,rap,0.774,0.82,-6.83,0.461,1.25e-05,0.233,0.162,0.773
40,rap,0.74,0.711,-6.378,0.16,0.0,0.447,0.271,0.318
41,rap,0.817,0.729,-4.981,0.527,0.0,0.111,0.0609,0.518
42,rap,0.689,0.654,-5.758,0.303,0.0,0.113,0.37,0.718
43,rap,0.927,0.611,-4.672,0.133,0.0,0.129,0.128,0.236
44,rap,0.717,0.725,-6.287,0.467,0.0,0.0987,0.162,0.645
45,rap,0.725,0.775,-9.432,0.54,0.0,0.121,0.432,0.697
46,rap,0.876,0.601,-5.769,0.091,0.0,0.055,0.247,0.863
47,rap,0.702,0.803,-4.947,0.412,0.0,0.437,0.325,0.791
48,rap,0.853,0.734,-4.642,0.0651,0.0,0.338,0.0733,0.382
