No.,genre,danceability,energy,loudness,acousticness,instrumentalness,liveness,speechiness
0,pop,0.714,0.728,-4.595,0.298,0.0,0.106,0.0468
1,pop,0.693,0.643,-5.867,0.138,0.0,0.108,0.0828
2,pop,0.795,0.739,-5.204,0.0101,0.00278,0.109,0.0591
3,pop,0.566,0.664,-5.303,0.634,0.0,0.116,0.0464
4,pop,0.776,0.78,-4.374,0.0622,0.0,0.081,0.128
5,pop,0.53,0.835,-3.69,0.0453,0.0,0.0637,0.11
6,pop,0.706,0.841,-3.956,7.95e-05,0.0,0.0688,0.0418
7,pop,0.751,0.783,-3.724,0.00379,0.0,0.036,0.0859
8,pop,0.421,0.791,-4.998,0.0117,1.48e-05,0.146,0.0496
9,pop,0.652,0.557,-5.714,0.74,0.0,0.124,0.0318
10,pop,0.449,0.585,-6.761,0.0509,8.75e-05,0.0833,0.0268
11,pop,0.72,0.791,-4.689,0.0384,0.0,0.157,0.124
12,pop,0.734,0.637,-5.677,0.0462,2.29e-05,0.0602,0.141
13,pop,0.703,0.444,-9.331,0.559,0.0,0.0973,0.0417
14,pop,0.739,0.586,-5.079,0.0245,0.000252,0.308,0.0472
15,pop,0.351,0.296,-10.109,0.934,0.0,0.095,0.0333
16,pop,0.486,0.617,-7.115,0.0954,3.23e-06,0.109,0.0287
17,pop,0.702,0.825,-3.787,0.00883,0.0,0.0674,0.0601
18,pop,0.509,0.538,-7.335,0.385,0.0,0.104,0.0572
19,pop,0.756,0.697,-6.377,0.182,0.0,0.333,0.0401
20,pop,0.671,0.636,-8.117,0.515,0.000411,0.172,0.103
21,pop,0.6,0.939,-1.794,0.0666,6.18e-06,0.34,0.19
22,pop,0.741,0.691,-7.395,0.0221,0.0,0.0476,0.0672
23,pop,0.52,0.731,-5.338,0.342,0.00101,0.311,0.0557
24,pop,0.475,0.37,-7.725,0.819,0.0577,0.0841,0.0361
25,pop,0.572,0.385,-6.362,0.371,0.0,0.231,0.0308
26,pop,0.667,0.373,-9.389,0.785,0.0,0.0906,0.05
27,pop,0.679,0.587,-7.015,0.141,6.35e-06,0.137,0.276
28,pop,0.563,0.664,-5.044,0.335,0.0,0.0849,0.154
29,pop,0.734,0.766,-4.485,0.025,0.00138,0.108,0.0383
30,pop,0.681,0.372,-8.237,0.64,0.0,0.169,0.0432
31,pop,0.615,0.534,-6.719,0.106,1.76e-05,0.0607,0.0386
32,pop,0.655,0.819,-4.852,0.000176,0.00374,0.104,0.0316
33,pop,0.601,0.271,-8.688,0.937,0.0,0.144,0.0403
34,pop,0.581,0.963,-4.087,0.0295,0.0,0.139,0.0981
35,pop,0.583,0.61,-5.639,0.00425,0.000105,0.14,0.0382
36,pop,0.576,0.593,-6.024,0.0467,0.000767,0.237,0.0306
37,pop,0.664,0.609,-6.509,0.304,0.0,0.0926,0.0707
38,pop,0.699,0.76,-3.173,0.00223,0.0,0.132,0.0677
39,pop,0.694,0.712,-3.923,0.132,0.0,0.211,0.046
40,pop,0.532,0.783,-5.697,0.0038,0.0012,0.161,0.0523
41,pop,0.76,0.703,-5.412,0.103,0.0,0.0913,0.054
42,pop,0.728,0.697,-4.125,0.0556,0.0,0.282,0.0456
43,pop,0.584,0.408,-7.356,0.476,0.0,0.18,0.0461
44,pop,0.788,0.859,-2.724,0.281,0.0,0.0424,0.0856
45,pop,0.556,0.319,-8.251,0.893,0.0,0.0996,0.0281
46,pop,0.544,0.786,-2.97,0.00991,0.0,0.169,0.0501
47,pop,0.791,0.862,-3.24,0.037,2.19e-05,0.0814,0.11
48,pop,0.764,0.705,-3.463,0.259,8.92e-05,0.12,0.0284
49,pop,0.591,0.764,-5.484,0.0383,0.0,0.103,0.0483
0,rock,0.419,0.383,-11.782,0.0724,0.0176,0.0896,0.0256
1,rock,0.679,0.866,-6.053,0.00376,3.1e-05,0.312,0.0635
2,rock,0.315,0.715,-8.072,0.00125,7.97e-06,0.0942,0.0362
3,rock,0.663,0.694,-8.627,0.0253,0.0,0.0698,0.171
4,rock,0.574,0.913,-4.793,0.061,0.00158,0.156,0.133
5,rock,0.668,0.921,-3.727,0.0492,0.00517,0.0877,0.0439
6,rock,0.496,0.863,-4.153,0.0046,0.0,0.639,0.0381
7,rock,0.733,0.726,-6.514,0.379,2.58e-06,0.471,0.0371
8,rock,0.31,0.403,-13.664,0.0726,9.27e-05,0.139,0.0326
9,rock,0.437,0.965,-4.448,0.326,0.00028,0.144,0.136
10,rock,0.577,0.828,-8.691,0.00213,0.0114,0.0581,0.0298
11,rock,0.475,0.899,-4.321,0.00375,1.91e-05,0.14,0.0637
12,rock,0.599,0.761,-6.887,0.713,4.74e-06,0.349,0.0421
13,rock,0.828,0.492,-9.744,0.0644,0.00428,0.128,0.0276
14,rock,0.768,0.852,-6.215,0.214,7.36e-05,0.0723,0.038
15,rock,0.361,0.98,-3.635,0.00141,0.00268,0.294,0.33
16,rock,0.547,0.714,-8.628,0.000242,0.636,0.122,0.044
17,rock,0.398,0.952,-6.042,0.000373,7.75e-05,0.1,0.061
18,rock,0.49,0.679,-3.68,0.00394,1.54e-05,0.0383,0.0309
19,rock,0.741,0.697,-7.028,0.0664,2.28e-05,0.133,0.0277
20,rock,0.462,0.836,-5.766,0.00517,0.0,0.18,0.0621
21,rock,0.486,0.449,-10.298,0.166,2.23e-06,0.54,0.0267
22,rock,0.332,0.769,-11.503,0.00367,0.00413,0.0372,0.0765
23,rock,0.653,0.677,-12.244,0.249,0.0,0.403,0.0396
24,rock,0.743,0.836,-6.465,0.0804,0.0,0.384,0.116
25,rock,0.671,0.712,-7.815,0.429,0.0,0.103,0.0476
26,rock,0.473,0.898,-4.797,0.00783,0.0618,0.173,0.0561
27,rock,0.564,0.932,-10.068,0.013,0.169,0.349,0.0554
28,rock,0.454,0.91,-7.766,0.0866,0.0996,0.116,0.0448
29,rock,0.754,0.759,-5.218,0.153,0.000108,0.101,0.302
30,rock,0.625,0.939,-3.115,0.00138,0.0,0.424,0.0669
31,rock,0.592,0.767,-2.788,0.0021,0.00165,0.127,0.027
32,rock,0.505,0.71,-10.853,0.0115,2.58e-06,0.0977,0.0371
33,rock,0.417,0.934,-3.908,0.000278,0.0015,0.132,0.119
34,rock,0.82,0.452,-9.796,0.543,0.00294,0.0714,0.0348
35,rock,0.28,0.908,-5.509,0.0327,8.85e-06,0.18,0.109
36,rock,0.489,0.918,-4.502,3.53e-05,7.64e-05,0.0908,0.0554
37,rock,0.445,0.907,-3.894,0.00161,0.0,0.403,0.0773
38,rock,0.414,0.404,-9.928,0.271,0.0,0.3,0.0499
39,rock,0.5,0.748,-9.072,0.127,0.0,0.447,0.0363
40,rock,0.438,0.71,-12.412,0.262,0.537,0.221,0.0919
41,rock,0.535,0.716,-5.025,0.326,0.0,0.659,0.0431
42,rock,0.502,0.89,-5.175,0.000147,0.0117,0.217,0.0364
43,rock,0.393,0.858,-2.868,0.00359,0.0,0.102,0.0729
